FID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,Type_,Juris,Latitude,Longitude
1,1. Park & Ride #2,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0s-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/rd83s76obq8n76t5pge6e2of6k/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALojZWv5Fopc38U5A-dhboMvdPpRB4d4rN4hD6GMpMLMOpu05_EAc9nJ-ErHfD2S4J",-1,0,UF Staging/Parking Area,University of Florida,29.63801573,-82.3764119
2,2. Garage XI,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-00-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/mbeau9ji16i2bok9tsiodpek00/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALoqNHM8DQSH41lzIHbKnMnZCHF2EeUsNL4kV5CqrGS68nP6pbzSLGLibyrNDUrOVq",-1,0,UF Staging/Parking Area,University of Florida,29.63656333,-82.36851142
3,3. Garage IX,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0o-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/poblemjaq979h2edtu0a5s6ju0/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALrIcXOzwDpUide1o1_g3jGdTyQzj5o3kynxic9ry0e8mw-QM9gsGk1GdyLu9UHzqH",-1,0,UF Staging/Parking Area,University of Florida,29.63657811,-82.35004421
4,14. Diamond Village (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-00-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/9r9nu8r5gngqr8vvid3ifnrcig/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALoIVpSGyKGbbxvsOc2INYL6xgg8lDyNbM_kRVmzsH7uSinCfgG5ZZhCs9l8WyIQdn",-1,0,UF Staging/Parking Area,University of Florida,29.64260207,-82.34050292
5,4. Maguire Village  (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0o-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/6foum5rrf3sa3ieji6tor6rddc/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALoYyZ8y4nvzGo0N9tdvDzqjeIkBfhOJpEMd3NzArXTcEZsNzynsoI6d8vPlA75gaE",-1,0,UF Staging/Parking Area,University of Florida,29.64132145,-82.37063665
6,5. Lakeside Complex (HOUSING),04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0g-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/8oghlbckn9p5jdbl5ud1hf04g8/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALqVamaNMQQbsQuSF8nepl4vXmlp0sWE3HyjhttavbNIgNc8XJwV88e60JYnrVpMfH",-1,0,UF Staging/Parking Area,University of Florida,29.64210884,-82.36680432
7,6. Frat Row,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0k-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/678u3o1942102opv3vcsu0lqrc/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALomLYOZRTh7OKG1bOO8fHaphxB8bWrQq0TLZ7Gqw6d4ZiSbXbqPUvmqhE0k_rciLD",-1,0,UF Staging/Parking Area,University of Florida,29.64849036,-82.35752601
8,7. Garage VII,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-00-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/udi1gqk5pjklolft5qm3krs3vo/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALpLI5x7XLyqmraq0vCaVTy5-3qdHZnuSJVMZwC1mY-ltt_bI2liCFIgXRaqeh4uvp",-1,0,UF Staging/Parking Area,University of Florida,29.65091172,-82.35158791
9,8. Memorial Rd Lot,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-14-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/ke8cuk8bj550uakces9vp9693c/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALopyZ19_cZbbrBOPV2YBAUTR2QB4YTmOccZF6Yi9JgIpu0NqMF-nO1J-tz7uB7upa",-1,0,UF Staging/Parking Area,University of Florida,29.65084171,-82.34085829
10,9. Garage V,04-15-21 UF e-Scooter Geofence Map (Launch Locations)/Proposed Launch Rebalancing Areas,0,-1,0, ,"<img src=""""https://doc-0c-3k-mymaps.googleusercontent.com/untrusted/hostedimage/67ht0gn364521qiheeia79564g/68mfl3va17svjobn7i48pctah0/1618503300000/gPo4lbj2QpB94lXfjmecfVFmWCShXmDq/*/6AF2TALo5Iew0hy3Omic8kTueIgdFQS0OmS8KGrA6mznDWUh2a2HVyGerNAZ-ElqnWW1zWd",-1,0,UF Staging/Parking Area,University of Florida,29.64353607,-82.35128185
