GEOID,LAT,LON,TRACT,ACRES,BLKGRP,MED_AGE,AVE_HH_SZ,HS_PER_AC,PCT_WHITE,DEN_POP,geometry,PCT_MALE,LU_diversity,Den_Bike_Lane,Den_Transit_Route,Den_Road_Network
120010004001,29.6848122,-82.2998476,000400,489.82804257,1,28.7,2.8,0.9,13.45,2.13,"POLYGON ((-82.30582474331722 29.674454955486713, -82.30583574605245 29.675730956150584, -82.30581974788561 29.676362956630467, -82.30581874920775 29.677007956709634, -82.30581874904063 29.67706395698902, -82.30581875053657 29.67752495770141, -82.30582775715017 29.680605959139296, -82.30582975897444 29.681399959208413, -82.30580476235804 29.682645960150154, -82.3058057652144 29.68375696020805, -82.30580576748126 29.684728961052024, -82.30581176781327 29.685021961533415, -82.30580477243129 29.686715962182195, -82.30579077616687 29.688256962481834, -82.3057907761254 29.688351962904797, -82.30558977552074 29.688349962591097, -82.3046947757413 29.688340959668903, -82.30367977592645 29.688335956894377, -82.30241477565994 29.68832295289569, -82.30184277551227 29.688324950675174, -82.30133377586495 29.688332949580317, -82.30063677610755 29.688336947747647, -82.30009577609688 29.688323945473474, -82.29994077541186 29.68831994524624, -82.29924577584823 29.688279943248208, -82.29855177584544 29.68821994139111, -82.29786177504286 29.688136939148194, -82.29717577524956 29.688032937261543, -82.29668977439837 29.68794393530383, -82.29649377480142 29.68790793486678, -82.29581777461767 29.687761932669225, -82.29514777336014 29.687593930856167, -82.29442777341755 29.68736892787911, -82.29388277280667 29.68717992665559, -82.29304477188994 29.686875923560216, -82.29222077165792 29.68649292154157, -82.29183177107709 29.6863009195677, -82.29095677004206 29.685868917164914, -82.28928576825655 29.68502791148988, -82.28934376779335 29.6849189113388, -82.2918057595791 29.681356917684663, -82.2927277560748 29.679984919966994, -82.29533574658439 29.67608592593537, -82.29597374435318 29.675120927339798, -82.29609674472431 29.674942927276245, -82.29665374219181 29.674166928354754, -82.29686974208452 29.673819929252463, -82.29750374168535 29.673807930535183, -82.29761974148968 29.673804931524675, -82.2996907416731 29.67381093692039, -82.3005777417747 29.673811940032852, -82.30112774212975 29.6738139415802, -82.30239974145537 29.67381694507966, -82.30252674123186 29.67381694559304, -82.30310274133168 29.67381794759345, -82.30402974205305 29.673824949915662, -82.30488074167435 29.67383095292964, -82.30530474181735 29.67383295361889, -82.30584974162939 29.673835955248826, -82.30582474331722 29.674454955486713))",0.4457252641690682,1.4772539414322419,0.043399524394718086,0.16169748118672814,0.015257028935029652
120010004002,29.670444,-82.304724,000400,211.67257,2,38.1,2.43,2.36,35.63,5.42,"POLYGON ((-82.31028873247963 29.6700149660621, -82.31028673423006 29.670734966984224, -82.31028473525296 29.67142996767962, -82.31027873733997 29.672225967580978, -82.31027973930289 29.673023968129346, -82.31023474115409 29.673844968618134, -82.30940374122532 29.67384396560308, -82.30758474134521 29.673841960904284, -82.30750574111833 29.673841960137988, -82.30584974162939 29.673835955248826, -82.30530474181735 29.67383295361889, -82.30488074167435 29.67383095292964, -82.30402974205305 29.673824949915662, -82.30310274133168 29.67381794759345, -82.30252674123186 29.67381694559304, -82.30239974145537 29.67381694507966, -82.30112774212975 29.6738139415802, -82.3005777417747 29.673811940032852, -82.2996907416731 29.67381093692039, -82.29761974148968 29.673804931524675, -82.29750374168535 29.673807930535183, -82.29686974208452 29.673819929252463, -82.29736773964659 29.673115930314324, -82.2975197400869 29.6728759306067, -82.29775773850352 29.672534931024334, -82.29836773664698 29.671609932544676, -82.29879773540291 29.67100993367461, -82.29897573398475 29.670717933483445, -82.29942173299332 29.67007493421759, -82.30004373034014 29.669157935960357, -82.30062972863385 29.668279937304625, -82.30114572736623 29.667502938217687, -82.30134872586136 29.667202939229746, -82.30183172430677 29.666513940081714, -82.30258972404455 29.666501941979874, -82.30341672440777 29.666509944950764, -82.30386072445889 29.66649194560117, -82.30394672411667 29.666496946062928, -82.3039697247032 29.666498946477994, -82.30414072422171 29.666509946828516, -82.3049667237693 29.66649594869765, -82.30580872431536 29.66651695159843, -82.3067087243236 29.666520954142836, -82.30751372440821 29.666523956372462, -82.30838572386405 29.666538959069904, -82.30930072433225 29.666529962017073, -82.31025772452047 29.66654896467071, -82.31026272461507 29.666871964778988, -82.31026972605687 29.6674669647186, -82.31027272718184 29.66765796522473, -82.31027472823615 29.668405965415204, -82.31027473022377 29.668960965715105, -82.31028673126792 29.669647966365158, -82.31028773179578 29.66989296603807, -82.31028873247963 29.6700149660621))",0.4878048780487805,1.1404063565322664,0.012497718510532243,0.3983741043505387,0.025944803964696384
120010004003,29.6702006,-82.3169533,000400,253.77881796,3,44.3,2.02,1.94,60.09,3.61,"POLYGON ((-82.32445272640085 29.667986006325975, -82.32433572754755 29.668530006615388, -82.32412872946878 29.66919800619934, -82.32404673020987 29.669375006747174, -82.32378673111916 29.669877005689727, -82.3229937350981 29.67128800466533, -82.32295673498456 29.671354004051153, -82.32236573753016 29.672403003321303, -82.3221017389374 29.672823002700703, -82.32180273990019 29.67351300223285, -82.32155974153703 29.673891001856017, -82.31958774101368 29.67388799587983, -82.31823474112447 29.67386499200601, -82.31772974090009 29.67387599064866, -82.317385741078 29.673891989723018, -82.31704674136209 29.673887988640473, -82.31654574140826 29.67386698688846, -82.31570574174091 29.67385598450931, -82.31482274104967 29.67386698166988, -82.31364974178848 29.673850978253128, -82.31302474110058 29.673848977086912, -82.31217174139199 29.67384797422193, -82.31131074152596 29.673846971736022, -82.31045274171476 29.673844969298678, -82.31023474115409 29.673844968618134, -82.31027973930289 29.673023968129346, -82.31027873733997 29.672225967580978, -82.31028473525296 29.67142996767962, -82.31028673423006 29.670734966984224, -82.31028873247963 29.6700149660621, -82.31028773179578 29.66989296603807, -82.31028673126792 29.669647966365158, -82.31027473022377 29.668960965715105, -82.31027472823615 29.668405965415204, -82.31027272718184 29.66765796522473, -82.31026972605687 29.6674669647186, -82.31026272461507 29.666871964778988, -82.31025772452047 29.66654896467071, -82.31125172427737 29.666551967168402, -82.31211272384421 29.666566969800844, -82.31304972383222 29.66656097249328, -82.31396472409878 29.66655497555289, -82.31476072358357 29.666576977432523, -82.31569172369575 29.666583980563374, -82.31649872384929 29.666586982529992, -82.31737372338596 29.666564985635915, -82.31827372382955 29.666577988295813, -82.31886172386109 29.66658298936319, -82.31956772326227 29.66659399187139, -82.32045272341703 29.666598993822415, -82.32061772369129 29.666595995019016, -82.32189472308234 29.666598998150658, -82.3224487233213 29.666599000124975, -82.32283472375833 29.66660100125733, -82.32308772310043 29.66660700175307, -82.32343372331451 29.666614002648558, -82.32392472304166 29.666610004000635, -82.32411172362495 29.66660800460427, -82.32453072386413 29.666645005968366, -82.32445272640085 29.667986006325975))",0.43838604143947657,1.4239860060550384,0.013628497852335665,0.1058078166801382,0.03205856612101103
120010004004,29.6794758,-82.3125287,000400,534.56904271,4,33.3,2.7,1.6,26.26,4.16,"POLYGON ((-82.32137574183174 29.674307001890522, -82.32123674294405 29.674519001495096, -82.32099274369652 29.6748890012175, -82.32069374538877 29.67544300009641, -82.32043774616632 29.67593099959286, -82.32042474600186 29.67595299942368, -82.32019174740641 29.676344999624515, -82.32012074779514 29.676489998817043, -82.31986774921663 29.677004999138656, -82.31981974897072 29.677102998555895, -82.3197227497126 29.677438998628556, -82.31958375055682 29.677659998557182, -82.31952075137322 29.677899998625335, -82.3195187509608 29.67805499789121, -82.31948675146857 29.678131997815363, -82.31949375176414 29.67821999872617, -82.31944775211441 29.678447998408622, -82.31937375330402 29.678721997994362, -82.31939075300446 29.678888998742856, -82.31937075415568 29.67908999861929, -82.31936675688601 29.680141999044608, -82.31937275904873 29.68119000016564, -82.31937075914948 29.68138500013016, -82.31938076182901 29.682429000217592, -82.31938576397172 29.683091000847547, -82.31938176552585 29.684083001388316, -82.31937876733949 29.684818002275698, -82.31937876782791 29.684891001496865, -82.31938176922328 29.685571002127503, -82.31936877109491 29.686210002784748, -82.31936277314107 29.686841002956175, -82.31936477378824 29.68731400376041, -82.3193607752359 29.68769300337627, -82.31936777619026 29.688323004243745, -82.31936977604164 29.68842000368891, -82.31841177635432 29.68840600094229, -82.31769077622947 29.68840599858298, -82.31704377592308 29.688397997033643, -82.31687577619763 29.688391996280444, -82.31543477627511 29.688393992019233, -82.31473977615221 29.688409990024617, -82.31410577669357 29.688413987748778, -82.31290877629183 29.688424984800452, -82.31222377609497 29.68844098236073, -82.31125677577512 29.68840097933421, -82.31043477593744 29.68838097705182, -82.30952177562386 29.688378974683204, -82.30916477624243 29.688377973422956, -82.30856077562339 29.6883719713629, -82.30761577640655 29.688362968242938, -82.3057907761254 29.688351962904797, -82.30579077616687 29.688256962481834, -82.30580477243129 29.686715962182195, -82.30581176781327 29.685021961533415, -82.30580576748126 29.684728961052024, -82.3058057652144 29.68375696020805, -82.30580476235804 29.682645960150154, -82.30582975897444 29.681399959208413, -82.30582775715017 29.680605959139296, -82.30581875053657 29.67752495770141, -82.30581874904063 29.67706395698902, -82.30581874920775 29.677007956709634, -82.30581974788561 29.676362956630467, -82.30583574605245 29.675730956150584, -82.30582474331722 29.674454955486713, -82.30584974162939 29.673835955248826, -82.30750574111833 29.673841960137988, -82.30758474134521 29.673841960904284, -82.30940374122532 29.67384396560308, -82.31023474115409 29.673844968618134, -82.31045274171476 29.673844969298678, -82.31131074152596 29.673846971736022, -82.31217174139199 29.67384797422193, -82.31302474110058 29.673848977086912, -82.31364974178848 29.673850978253128, -82.31482274104967 29.67386698166988, -82.31570574174091 29.67385598450931, -82.31654574140826 29.67386698688846, -82.31704674136209 29.673887988640473, -82.317385741078 29.673891989723018, -82.31772974090009 29.67387599064866, -82.31823474112447 29.67386499200601, -82.31958774101368 29.67388799587983, -82.32155974153703 29.673891001856017, -82.32137574183174 29.674307001890522))",0.4847122302158273,1.624510059700599,0.04362108613531747,0.09143288408482789,0.025060896675457113
120010006001,29.6611728,-82.2975558,000600,267.81444603,1,35.1,2.82,1.9,4.63,5.08,"POLYGON ((-82.30657770688826 29.65934095000125, -82.30637870849299 29.659751949675748, -82.3061797088187 29.660109948876077, -82.30579671013798 29.660668948413228, -82.30536571164139 29.661281947668286, -82.304800714413 29.662116946387496, -82.3041177167033 29.663154944525715, -82.30379871704304 29.6636249445205, -82.30197372379143 29.666313940298963, -82.30183172430677 29.666513940081714, -82.3016677249658 29.666502939804207, -82.30147872471377 29.66648393871999, -82.30164472422152 29.666208939384216, -82.30222672162546 29.665247940583754, -82.30190372120062 29.665243939782687, -82.30184872177313 29.665242939002344, -82.29704172185346 29.66528392493586, -82.29473472186282 29.66530391877685, -82.29409172176872 29.66530891675262, -82.29037272205315 29.6653389060422, -82.29022472263404 29.665339905727514, -82.28914872279285 29.665344902682637, -82.28915472054913 29.66443290176312, -82.28899671810419 29.663596901211093, -82.2889207186071 29.663527900806667, -82.28881371844318 29.66340190062779, -82.2884947170396 29.66313989906675, -82.28839171708859 29.663054899344516, -82.28831671730197 29.662828899227982, -82.28830471648867 29.662802898943887, -82.28793271444661 29.661987897477793, -82.28774371413253 29.661508896391847, -82.28769271240073 29.66098689629749, -82.28734071193475 29.660458895064107, -82.28711371042061 29.66004589377029, -82.2871017100173 29.65977589422719, -82.28707670951472 29.659715894165416, -82.28701370919008 29.659649893791894, -82.28664770895901 29.659495892344513, -82.28640270945772 29.659352891471357, -82.28623470835497 29.659221891618785, -82.28663970860588 29.659216892817675, -82.28667870878962 29.65921589272071, -82.28733270907614 29.659229894564785, -82.28813670867473 29.659223896649042, -82.28846870824749 29.65923489727871, -82.28897370846529 29.65925089943103, -82.28915470874158 29.659251899583033, -82.28951470865077 29.65925290038304, -82.29013170858627 29.659238902767676, -82.29107370837254 29.65925190502252, -82.2918877081704 29.659241907908367, -82.29239770838123 29.659246909129823, -82.29287270876824 29.659273910778328, -82.29334070817677 29.65923691134653, -82.29363570775412 29.659257913012407, -82.29444470860118 29.659250914454113, -82.29521370851758 29.659253916731828, -82.29599770837567 29.659249919657146, -82.29640570741188 29.659229920158005, -82.29732370804906 29.659230923421163, -82.2975087079011 29.659235923525603, -82.29801970743841 29.659234925403148, -82.29836170787122 29.659229926009715, -82.29904570771639 29.659244927778023, -82.29990970759631 29.65922093018478, -82.30012870720243 29.65921093158213, -82.30056770744 29.65921893270737, -82.30120970695981 29.659203934729668, -82.30164070733362 29.659207935284538, -82.30229670767844 29.659206937196572, -82.30278370718815 29.659196938951332, -82.30283870721931 29.659195938771322, -82.30328170719378 29.659233940351665, -82.30385770752224 29.6592169416736, -82.30397070743614 29.659246942461895, -82.30466570728814 29.659242944099947, -82.30478770653231 29.65920594453791, -82.30526870692103 29.65922994616132, -82.305592706895 29.659223947359497, -82.30584970672538 29.65924294752954, -82.30604670659076 29.659260948595957, -82.3061957075784 29.659273948929705, -82.30637370749736 29.659309949654652, -82.30646270724507 29.65932694961127, -82.30657770688826 29.65934095000125))",0.4393828067597355,1.4975098075220699,0.00987782487269039,0.5983744599835171,0.06260205765840034
120010006002,29.655181,-82.3055062,000600,142.99921986,2,26.8,3.03,2.57,5.05,6.23,"POLYGON ((-82.31141568991355 29.65210396026758, -82.31092969189396 29.652878958863003, -82.31023869341718 29.653867957058264, -82.30965069605637 29.654716956530265, -82.30900269848838 29.655694954574887, -82.3079587025064 29.657226953013364, -82.30657770688826 29.65934095000125, -82.30646270724507 29.65932694961127, -82.30637370749736 29.659309949654652, -82.3061957075784 29.659273948929705, -82.30604670659076 29.659260948595957, -82.30584970672538 29.65924294752954, -82.305592706895 29.659223947359497, -82.30526870692103 29.65922994616132, -82.30478770653231 29.65920594453791, -82.30466570728814 29.659242944099947, -82.30397070743614 29.659246942461895, -82.30385770752224 29.6592169416736, -82.30328170719378 29.659233940351665, -82.30283870721931 29.659195938771322, -82.30278370718815 29.659196938951332, -82.30229670767844 29.659206937196572, -82.30164070733362 29.659207935284538, -82.30167270579743 29.658496935561, -82.30166470411986 29.65801693500907, -82.30168270335446 29.657453934769872, -82.30169470200377 29.65713393429468, -82.30169670203829 29.657019934555766, -82.30170370171263 29.656649934836146, -82.30169369928309 29.65585893374715, -82.30168669841902 29.655522933875428, -82.30166969708999 29.65474193347889, -82.30167369419462 29.653789933149856, -82.30168169293005 29.652872932379676, -82.30167569023104 29.65197693240149, -82.30302369060894 29.6519629354234, -82.30443268974238 29.65197693965325, -82.30584168980806 29.65198794378753, -82.30584068922505 29.651853943511757, -82.30584068863705 29.651337943524595, -82.30630868925076 29.65153994535143, -82.30651168863268 29.651636945748226, -82.30693368899948 29.65186594669444, -82.30721868983929 29.65201994764411, -82.30866968951484 29.652009951946397, -82.31009868985521 29.652000956192325, -82.310598689487 29.65199995750253, -82.3110446893944 29.651998958939533, -82.3111626893737 29.651997959224474, -82.31124968873326 29.651996959078936, -82.3114706895365 29.651987959680184, -82.31141568991355 29.65210396026758))",0.48709315375982043,1.319061393750953,0.006698993767535176,1.0900443926275114,0.140685994468574
120010006003,29.6493413,-82.2869017,000600,1490.42593819,3,30.4,2.73,0.6,8.73,1.54,"POLYGON ((-82.30584168980806 29.65198794378753, -82.30443268974238 29.65197693965325, -82.30302369060894 29.6519629354234, -82.30167569023104 29.65197693240149, -82.30168169293005 29.652872932379676, -82.30167369419462 29.653789933149856, -82.30166969708999 29.65474193347889, -82.30168669841902 29.655522933875428, -82.30169369928309 29.65585893374715, -82.30170370171263 29.656649934836146, -82.30169670203829 29.657019934555766, -82.30169470200377 29.65713393429468, -82.30168270335446 29.657453934769872, -82.30166470411986 29.65801693500907, -82.30167270579743 29.658496935561, -82.30164070733362 29.659207935284538, -82.30120970695981 29.659203934729668, -82.30056770744 29.65921893270737, -82.30012870720243 29.65921093158213, -82.29990970759631 29.65922093018478, -82.29904570771639 29.659244927778023, -82.29836170787122 29.659229926009715, -82.29801970743841 29.659234925403148, -82.2975087079011 29.659235923525603, -82.29732370804906 29.659230923421163, -82.29640570741188 29.659229920158005, -82.29599770837567 29.659249919657146, -82.29521370851758 29.659253916731828, -82.29444470860118 29.659250914454113, -82.29363570775412 29.659257913012407, -82.29334070817677 29.65923691134653, -82.29287270876824 29.659273910778328, -82.29239770838123 29.659246909129823, -82.2918877081704 29.659241907908367, -82.29107370837254 29.65925190502252, -82.29013170858627 29.659238902767676, -82.28951470865077 29.65925290038304, -82.28915470874158 29.659251899583033, -82.28897370846529 29.65925089943103, -82.28846870824749 29.65923489727871, -82.28813670867473 29.659223896649042, -82.28733270907614 29.659229894564785, -82.28667870878962 29.65921589272071, -82.28663970860588 29.659216892817675, -82.28623470835497 29.659221891618785, -82.28640270945772 29.659352891471357, -82.28664770895901 29.659495892344513, -82.28701370919008 29.659649893791894, -82.28707670951472 29.659715894165416, -82.2871017100173 29.65977589422719, -82.28711371042061 29.66004589377029, -82.28734071193475 29.660458895064107, -82.28769271240073 29.66098689629749, -82.28774371413253 29.661508896391847, -82.28793271444661 29.661987897477793, -82.28830471648867 29.662802898943887, -82.2856587174647 29.66279789120252, -82.28498571673214 29.662795888983858, -82.28465671690897 29.662794888334908, -82.27402271825179 29.662762857713247, -82.27248171765564 29.662758852857806, -82.27248171755001 29.66254385293111, -82.27247670964658 29.659057851115477, -82.27245770203011 29.65557085044374, -82.27242270127708 29.65523685036355, -82.27242570093513 29.654914850198132, -82.27242569686153 29.653532849088204, -82.27242469399503 29.65189684903231, -82.27242469378191 29.651788848721353, -82.27242869053757 29.650321848132776, -82.27244468803539 29.64914784813255, -82.27244668676178 29.64900884759065, -82.27245168563795 29.648215847464435, -82.27244668319081 29.64695884655473, -82.27246368053615 29.646082846878738, -82.27246668023047 29.6457348469137, -82.27247267828291 29.644836846161596, -82.27246967762953 29.64447984644728, -82.27245967480815 29.64342984520687, -82.27246567341936 29.642604845419264, -82.27246867226835 29.64208284505926, -82.27247667020455 29.641214845307104, -82.27247866841745 29.640705844797075, -82.27248566610605 29.63943784438875, -82.27247166203085 29.637735843113155, -82.27248165893877 29.636177843151764, -82.27248365796025 29.636037842605603, -82.2724916568293 29.635387842999528, -82.27569365949962 29.636803851771976, -82.27607966021057 29.636988852895737, -82.27715466059387 29.63748785667906, -82.2773996604744 29.637600857294114, -82.27867966178741 29.638163860792883, -82.27904066194043 29.638326861909984, -82.27985766266391 29.63862886479303, -82.28079966371395 29.63908686752835, -82.28138966447727 29.639383868829785, -82.28241066506017 29.639861871922463, -82.2832296661002 29.640197874902615, -82.28400666630608 29.64056387712972, -82.28456866682555 29.64079987829085, -82.2847156673799 29.64087787915948, -82.28497466747523 29.640989879619433, -82.28560566781633 29.64126288121797, -82.28591966802453 29.64140188273051, -82.28824567025607 29.642482889422052, -82.28918867116394 29.642910892056545, -82.29017567211746 29.64335689565383, -82.29117667278368 29.643878898715748, -82.29183267312555 29.644213900007237, -82.29234267375365 29.64446090177986, -82.29269367474521 29.644643903259656, -82.29335167552533 29.644998905397628, -82.29430867630775 29.645468908080478, -82.29484067675989 29.645720909320726, -82.2959326778733 29.646317913038754, -82.29763867972692 29.647147918431255, -82.2976626796987 29.647164918177413, -82.29769167965169 29.64718191856987, -82.29796467994474 29.647314919243687, -82.29829068020459 29.64748792029524, -82.2991656807877 29.647928922977187, -82.3006586829356 29.64867392771722, -82.30171068348972 29.649203930282702, -82.30180768443857 29.64924993065273, -82.30291368486697 29.649799934031606, -82.3030746850274 29.649905934786922, -82.30444868663224 29.650574939522265, -82.30530468771889 29.650986941906122, -82.30584068863705 29.651337943524595, -82.30584068922505 29.651853943511757, -82.30584168980806 29.65198794378753))",0.44153577661431065,1.9175390214270782,0.0022141178784252477,0.08813702283031867,0.006237143645355748
120010007001,29.6484908,-82.309973,000700,127.70124443,1,38.4,2.47,2.2,10.34,4.62,"POLYGON ((-82.3177476730062 29.64580097412702, -82.31649967529967 29.646295970749907, -82.31510667721756 29.64702896706852, -82.31392767954101 29.648237964835985, -82.3134806808605 29.648709963607082, -82.31315468213853 29.64915096356402, -82.31299268214674 29.6493319630228, -82.31286268258924 29.649477962772075, -82.31279968282938 29.64960196192884, -82.31275968373909 29.649703962444786, -82.31266068385098 29.649899962447666, -82.31258868400775 29.65009596162748, -82.31181468755756 29.651202960931062, -82.31154468703026 29.651202959792535, -82.31153468834718 29.65147295991772, -82.31150668852484 29.651743959709524, -82.31149068933584 29.651863959940428, -82.3114706895365 29.651987959680184, -82.31124968873326 29.651996959078936, -82.3111626893737 29.651997959224474, -82.3110446893944 29.651998958939533, -82.310598689487 29.65199995750253, -82.31009868985521 29.652000956192325, -82.30866968951484 29.652009951946397, -82.30721868983929 29.65201994764411, -82.30693368899948 29.65186594669444, -82.30651168863268 29.651636945748226, -82.30630868925076 29.65153994535143, -82.30584068863705 29.651337943524595, -82.30583968795814 29.65114894348278, -82.3058396875877 29.65100794355111, -82.3058386863534 29.650567943143095, -82.30583868545459 29.650076942755792, -82.30584568357907 29.649173942355254, -82.30585368065282 29.64829194238732, -82.30586467806782 29.64692994138228, -82.30586267494424 29.64577894049748, -82.30653267527387 29.645780942218167, -82.30723367465559 29.645781944828922, -82.30791167457619 29.645789946546397, -82.30867067449796 29.6457939482386, -82.30958767495092 29.64579795110341, -82.31054267416394 29.64579595358901, -82.31145167467444 29.64579395606281, -82.31158567436219 29.645791956922068, -82.31228367384972 29.6457749588964, -82.31242367466514 29.645778959395095, -82.31263367384628 29.645784959408616, -82.31319667428761 29.64580096155787, -82.31380367356866 29.64580096330883, -82.3151056741201 29.645786966674073, -82.31650967403583 29.64579897082021, -82.31762167326102 29.64580497387192, -82.3177476730062 29.64580097412702))",0.46779661016949153,1.292259329045695,0.08252140402620425,0.9468882262412591,0.30243453209416626
120010002011,29.6564537,-82.3297109,000201,98.07305573,1,30.4,2.3,3.39,47.64,6.48,"POLYGON ((-82.33295170490177 29.659429025839305, -82.33198570462892 29.65942902318527, -82.3309437050402 29.659428020182364, -82.329724704968 29.659433016692386, -82.3292387050792 29.65943501502099, -82.32882170592679 29.65943701425276, -82.32829870507506 29.659443012715247, -82.32792570590092 29.65941001175612, -82.32760170488146 29.659371010885245, -82.32708670543107 29.659277009113932, -82.3265927055944 29.659240007256642, -82.32661970402245 29.658967007804197, -82.32664270439955 29.658740007236307, -82.32665070253218 29.658171006755847, -82.32664770212901 29.65803200705055, -82.32664370180255 29.657854007075304, -82.32662869964665 29.65696600584345, -82.32662869965242 29.656920006626155, -82.32662869893461 29.656824006021512, -82.32662869841396 29.656664005931226, -82.3266276975034 29.65603000567829, -82.32662669604566 29.6557090056407, -82.32661569510196 29.6553400047845, -82.32660769526717 29.655068004698723, -82.32660469362985 29.65469100495627, -82.32658969234852 29.654029003945805, -82.32659369031725 29.653328004112264, -82.3279476909549 29.653353007384606, -82.33058369074483 29.653380014983995, -82.33074269054869 29.6534010153142, -82.33082169047461 29.653385016288524, -82.33081969111298 29.653510016204372, -82.3308216911792 29.653827016371512, -82.33221869149357 29.65386602059899, -82.33291569132024 29.653878022523394, -82.33292269236283 29.654455022644093, -82.33292669359336 29.654751023125495, -82.33290469371471 29.6550510233106, -82.33290269607845 29.65568502355624, -82.33290669763534 29.656606024199736, -82.33288970028092 29.65750602497464, -82.33288470058254 29.657752024817473, -82.33288770204761 29.65840602518939, -82.33295170490177 29.659429025839305))",0.5110062893081762,1.455193712478993,0.024416349467522806,0.2859176608381472,0.05279613473975649
120010002012,29.6566337,-82.3360465,000201,91.82192554,2,22.0,2.53,6.63,60.07,11.84,"POLYGON ((-82.3392786914196 29.654407040874716, -82.33927769273254 29.654567040584315, -82.33927669311464 29.654833041105622, -82.33927469449561 29.655253041328294, -82.33926169523609 29.655726041420742, -82.33925369694532 29.65633804168602, -82.33924169757327 29.656553041967694, -82.33924569856342 29.656950042108953, -82.33922969946289 29.6575470427886, -82.33922170252299 29.658674043240417, -82.33920970417418 29.659189043782053, -82.33911970413136 29.659189043232566, -82.33876270341597 29.659189042315013, -82.33845570441952 29.659205042126956, -82.33807570423662 29.659261040456553, -82.3376707044888 29.659328039235135, -82.33763070465326 29.659335039024437, -82.33717070438695 29.659392038032767, -82.33714470452682 29.659399038106958, -82.33683870506319 29.659411036790296, -82.33511770485704 29.659429031927125, -82.33398770530029 29.659430029077164, -82.33295170490177 29.659429025839305, -82.33288770204761 29.65840602518939, -82.33288470058254 29.657752024817473, -82.33288970028092 29.65750602497464, -82.33290669763534 29.656606024199736, -82.33290269607845 29.65568502355624, -82.33290469371471 29.6550510233106, -82.33292669359336 29.654751023125495, -82.33292269236283 29.654455022644093, -82.33291569132024 29.653878022523394, -82.33394869160365 29.65389702493274, -82.33425169095885 29.65389802626639, -82.33501469090474 29.653901027868127, -82.33600169142352 29.653907031170064, -82.337138691119 29.653920034054533, -82.33814269104006 29.653943036836413, -82.33840369100344 29.653934037760667, -82.33917069102365 29.653921039970903, -82.33928169024351 29.653920040101113, -82.3392786914196 29.654407040874716))",0.49954001839926404,1.3392112493376627,0.007553158981629,0.5786063928039099,0.07867516461117359
